Name_anime;Count_of_series;Genre;Topics;Years;Age_limit
Стальная тревога;61;боевик,комедия,фантастика;военное,меха;2002,2003,2005,2018;18
Мегалобокс;26;боевик,повседневность,драма,фантастика;спорт;2018,2021;18
Брошенный кролик;11;комедия,повседневность;-;2011;16
Скейт: Бесконечность;12;комедия;спорт;2021;16
Члены школьного совета;26;комедия,повседневность;сёнен,школа;2010,2014;18
Бродяга Кэнсин;95;приключения,боевик,комедия,романтика;историческое,самураи,сёнен;1996;16
Праздник кукол;12;комедия,повседневность,фантастика,мистика;-;2018;16
Дорохедоро;12;боевик,комедия,фэнтези,триллер;магия,ужасы;2020;18
Токийские вороны;24;комедия,фэнтези;магия,школа;2013;16
Дурочка;12;комедия,повседневность,романтика;сёнен,школа;2017;16
Место за пределами вселенной;13;приключения;-;2018;16
Рейтинг короля;23;приключения,фэнтези;-;2021;16
Возрождающие;22;приключения,фантастика;меха;2017;18
Зомбиленд Сага;24;комедия,мистика;музыка;2018,2021;18
Герой при заклятом враге;12;приключения,романтика,фэнтези,мистика;демоны;2013;18
Марш смерти под рапсодию параллельного мира;12;фэнтези;-;2018;16
Виви: Песнь флюоритового глаза;13;боевик,фантастика,триллер;музыка;2021;18
Судьба: Апокриф;25;драма,фантастика,фэнтези,мистика;магия;2017;18
Волчица и чёрный принц;12;комедия,повседневность,романтика;сёдзё,школа;2014;16
Не люблю боль, вкачаю всё в защиту;12;приключения,боевик,комедия,фантастика,фэнтези;игры;2020;16
Печать ветра;24;боевик,романтика,фэнтези,мистика;магия,сёнен;2007;16
Лагерь на свежем воздухе;25;комедия,повседневность;-;2018,2021;16
Актёры города Мекаку;12;комедия,романтика,фантастика,мистика;суперсила;2014;16
Яркая Чихая;74;повседневность,драма;игры,спорт,школа;2011,2013,2019;16
Живая любовь: проект школьный идол;93;повседневность;музыка,школа;2013,2014,2016,2017,2020,2021,2022;16
Габриэль бросает школу;12;комедия,повседневность,мистика;демоны,школа,сёнен;2017;16
Полноценная жизнь онлайн;11;комедия,повседневность;игры;2017;16
Всегда вялый Танака-кун;12;комедия,повседневность;школа;2016;16
Магазинчик сладостей;24;комедия,повседневность;сёнен;2016,2018;16
Эврика 7: Псалмы планет;74;приключения,романтика,драма,фантастика;меха;2005,2012;16
Звучи, эуфониум!;26;повседневность,драма;музыка,школа;2015,2016;16
Такт Опус. Судьба;12;боевик,фэнтези;музыка;2021;18
Аниме от А до Я;24;комедия,драма;-;2014;16
Школьная жизнь!;12;повседневность,детектив,триллер,психология;ужасы,школа;2015;18
Давайте сыграем;12;комедия,повседневность;школа;2018;16
Сердца Пандоры;25;приключения,фэнтези,мистика,детектив;сёнен;2009;16
Мальчики, пожалуйста, целуйте его вместо меня;12;комедия,повседневность,романтика;сёдзё,школа;2016;16
Шестая зона;11;боевик,драма,фантастика,детектив;-;2011;18
Мемуары Ванитаса;24;фэнтези,мистика;вампиры,историческое,сёнен;2021;18
Новая игра!;24;комедия,повседневность;игры;2016,2017;16
Сакура - собирательница карт;92;приключения,комедия,повседневность,романтика,драма,фэнтези;магия,сёдзё,школа;1998,2018;12
Страна самоцветов;12;боевик,драма,фэнтези,детектив;-;2017;16
Сказ о четырёх с половиной татами;11;комедия,романтика,детектив,психология;-;2010;18
Только ты любишь Великого Меня?;13;комедия,повседневность,романтика;школа;2019;16
Граница пустоты: Сад грешников;8;боевик,мистика,детектив,триллер;-;2007,2008,2009,2013;18
Деревенская глубинка;38;комедия,повседневность;школа;2013,2015,2021;16
Темнее черного;38;боевик,фантастика,детектив;суперсила;2007,2009;18
Лучший ассасин, переродившийся аристократом;12;боевик,романтика,драма,фэнтези,детектив;-;2021;16
Супер бои в повседневности;12;комедия,повседневность,романтика,мистика;школа;2014;16
Мы не можем учиться!;26;комедия,повседневность,романтика;сёнен,школа;2019;16
Деми-тян хочет рассказать;13;комедия,фэнтези;вампиры,школа;2017;16
Лавочка Тамако;12;комедия,повседневность;-;2013;16
Проклятие мультивыбора превратило мою жизнь в ад;10;комедия,романтика;школа;2013;16
Ярость Бахамута;36;приключения,комедия,драма,фэнтези;демоны,магия;2014,2017;18
Девочка, которая видит это;12;комедия,мистика;ужасы,школа;2021;18
Ложные выводы;12;комедия,романтика,мистика,детектив;демоны,сёнен;2020;18
Моя реинкарнация в отомэ-игре в качестве главной злодейки;24;комедия,романтика,драма,фэнтези;сёдзё,школа;2020,2021;16
Добро пожаловать в ад, Ирума!;44;комедия,фэнтези,мистика;демоны,сёнен,школа;2019,2021;16
Любовь и ложь;12;повседневность,романтика,драма;школа;2017;16
Сумеречная дева и амнезия;13;повседневность,романтика,мистика,детектив,триллер;ужасы,школа,сёнен;2012;18
Импульс мира;99;боевик,повседневность,фантастика,мистика;сёнен,школа;2014,2021;16
Призрак в доспехах: Синдром одиночки;52;боевик,фантастика;военное,меха,полиция;2002,2004;18
Моя девушка не только милая;12;комедия,повседневность,романтика;-;2022;16
Богатый детектив. Баланс: Неограничен;11;комедия,детектив;полиция;2020;16
Помолвлена с незнакомцем;12;комедия,повседневность,романтика;школа;2014;16
Адский Ад!;12;комедия,повседневность;игры,школа;2014;16
Радуга: Семеро из шестой камеры второго блока;26;драма,триллер;историческое;2010;18
Мы ждём тебя летом;12;комедия,повседневность,романтика,драма,фантастика;-;2012;16
Мы из общаги Кавай;13;комедия,повседневность,романтика;школа;2014;16
Голубой период;12;повседневность,драма;школа;2021;18
Конец человечества;12;романтика,драма,фантастика,фэнтези;-;2017;16
Гроб принцессы Чайки;22;приключения,боевик,комедия,романтика,фэнтези;-;2014;18
Кровь+;62;боевик,драма,мистика,детектив,триллер;ужасы,вампиры,школа,военное;2005,2011;18
Акудама Драйв;12;боевик,фантастика;-;2020;18
Ария: Алая пуля;25;боевик,комедия,повседневность,романтика;сёдзё,школа;2011,2015;16
Квартет из альтернативного мира;24;комедия,фэнтези;пародия;2019,2020;16
Сказание об Арслане;33;приключения,боевик,драма,фэнтези;историческое,сёнен;2015,2016;18
Аполлон: Дети на холме;12;повседневность,романтика,драма;музыка,школа;2012;16
Лакомый кусочек;51;комедия,повседневность,романтика;школа;2010,2012,2017;16
Пинг-понг;11;драма,психология;спорт;2014;16
Тетрадь смерти;37;мистика,детектив,триллер,психология;полиция,сёнен;2006;18
Да, я паук, и что?;24;приключения,боевик,комедия,фэнтези,детектив;-;2021;16
Спецкласс А;24;комедия,повседневность,романтика;сёдзё,школа;2008;16
Шаман Кинг;116;приключения,боевик,комедия,драма,фантастика,фэнтези;сёнен;2001,2021;16
Тирания вооруженных девушек;12;боевик,комедия;сёнен,школа;2017;16
Аватар короля;27;приключения,комедия;игры;2017,2020;16
Стрелок с чёрной скалы;17;боевик,повседневность,драма;суперсила,школа;2012,2022;16
Ползучий хаос Няруко-сан!;24;комедия,фантастика;пародия;2012,2013;16
Под мостом над Аракавой;26;комедия,романтика;-;2010;16
Адская девочка;90;мистика,детектив,триллер,психология;ужасы;2005,2006,2008,2017;18
Патриотизм Мориарти;24;детектив,триллер,психология;историческое,сёнен;2020,2021;18
Путешествие Элейны;12;приключения,фэнтези;-;2020;16
Мятежная компания;12;комедия,фэнтези;пародия;2013;16
Платиновый предел;24;драма,мистика,психология;сёнен;2021;18
Прощай, унылый учитель;38;комедия,повседневность;пародия,сёнен,школа;2007,2008,2009;18
Космический Денди;26;приключения,комедия,фантастика;космос;2014;16
Джульетта из школы-интерната;12;боевик,комедия,романтика;сёнен,школа;2018;16
Дьявольские возлюбленные;24;повседневность,мистика;вампиры,сёдзё,школа;2013,2015;18
Лилии на ветру;36;комедия,повседневность;школа,сёдзё;2011,2012,2015;16
Совершенно новый зверь;12;боевик,фэнтези;суперсила;2020;16
Кайдзи;52;триллер,психология;игры;2007,2011;18
Гаргантия на просторах зелёной планеты;15;приключения,боевик,фантастика;меха;2013;16
Инициал Ди;81;боевик,драма;спорт;1998,1999,2004,2012,2014;16
Котоура-сан;12;комедия,повседневность,романтика,драма;школа;2013;16
Золотое божество;36;приключения,боевик;историческое;2018,2020;18
Инцидент Кэмоно;12;боевик,мистика,детектив;демоны,сёнен;2021;18
Заботливая 800-летняя жена!;12;комедия,повседневность,романтика,мистика;-;2019;16
Би: Начало;18;боевик,мистика,детектив,триллер,психология;полиция;2018,2021;18
Фантом: Реквием по Фантому;26;боевик,драма,триллер;-;2009;18
Азбука цветов;26;комедия,повседневность,драма;-;2011;16
Школьный переполох;52;комедия,повседневность,романтика;школа,сёнен;2004,2006;16
Вторжение. ID;13;фантастика,детектив,психология;полиция;2020;18
Детектив уже мёртв;12;комедия,романтика,драма,детектив;-;2021;16
Бек;26;комедия,повседневность,драма;музыка,сёнен;2004;18
Морская невеста;26;комедия,повседневность,романтика;пародия,сёнен,школа;2007;16
Код: Крушитель;16;боевик,комедия,повседневность,мистика;сёнен,суперсила,школа;2012;18
Волчий дождь;30;приключения,боевик,драма,фантастика,фэнтези,детектив;-;2003;16
Бэнто;12;боевик,комедия;боевые искусства;2011;16
